file,config,particle,D_m,Lw_cm,Epw_cm,material,H,config_dir,tally_14_value,tally_14_error,tally_1014_total_value,tally_1014_total_error,dose_Dp10_calc,dose_Dp10_calc_error,dose_Hstar10_calc,dose_Hstar10_calc_error,dose_E_calc,dose_E_calc_error,diff_Dp10_pct
SR_Pu_UN_G1_C1_P_D1000.0m_Lw_50000.0cm_Epw20.0cm_w_concrete.o,C1,P,1000.0,50000.0,20.0,concrete,0,C1_H_0,4.84753e-13,0.139,1.33241e-13,0.0724,4.844565065402207e-13,0.13839508535549117,4.76495701079339e-13,0.13937535516559857,4.0815579065316644e-13,0.14118697736141506,
SR_Pu_UN_G1_C1_P_D1200.0m_Lw_60000.0cm_Epw20.0cm_w_concrete.o,C1,P,1200.0,60000.0,20.0,concrete,0,C1_H_0,2.08663e-13,0.1603,4.70779e-14,0.0911,2.090088170938961e-13,0.16008071274829727,2.0619894899401655e-13,0.1609347796694196,1.7722258929530147e-13,0.1620379316624789,
SR_Pu_UN_G1_C1_P_D1.0m_Lw_50.0cm_Epw40.0cm_w_concrete.o,C1,P,1.0,50.0,40.0,concrete,0,C1_H_0,7.01285e-06,0.0036,1.21811e-06,0.0058,7.040397224168467e-06,0.0031582455559588146,6.953642523656166e-06,0.0031381018190753526,5.990378382417179e-06,0.003100918023547829,
SR_Pu_UN_G1_C1_P_D2.0m_Lw_100.0cm_Epw40.0cm_w_concrete.o,C1,P,2.0,100.0,40.0,concrete,0,C1_H_0,1.79728e-06,0.008,3.14024e-07,0.011,1.8045163388332043e-06,0.0077582790029352726,1.7823957199523362e-06,0.007765088015482137,1.5358440986176408e-06,0.007771819438328445,
SR_Pu_UN_G1_C1_P_D5.0m_Lw_250.0cm_Epw40.0cm_w_concrete.o,C1,P,5.0,250.0,40.0,concrete,0,C1_H_0,2.73934e-07,0.0104,5.00311e-08,0.0144,2.7495671228032874e-07,0.010310844188581967,2.714672877933808e-07,0.010321440033891545,2.337375442739122e-07,0.010309856059476414,
SR_Pu_UN_G1_C1_P_D10.0m_Lw_500.0cm_Epw40.0cm_w_concrete.o,C1,P,10.0,500.0,40.0,concrete,0,C1_H_0,6.23312e-08,0.0103,1.19175e-08,0.0222,6.258633885409401e-08,0.010279575732933635,6.177640552513377e-08,0.010298413216000262,5.315682712958059e-08,0.010209863249635808,
SR_Pu_UN_G1_C1_P_D20.0m_Lw_1000.0cm_Epw40.0cm_w_concrete.o,C1,P,20.0,1000.0,40.0,concrete,0,C1_H_0,1.47533e-08,0.0098,2.92229e-09,0.0145,1.4810453085247274e-08,0.009729875383131288,1.4609396251512614e-08,0.009745761187868063,1.2571536763540282e-08,0.009755658222928202,
SR_Pu_UN_G1_C1_P_D50.0m_Lw_2500.0cm_Epw40.0cm_w_concrete.o,C1,P,50.0,2500.0,40.0,concrete,0,C1_H_0,2.25815e-09,0.0175,4.87254e-10,0.0205,2.2668779339076587e-09,0.01745271959582412,2.233651001149316e-09,0.017522023316748715,1.9195364372780162e-09,0.01761807015086934,
SR_Pu_UN_G1_C1_P_D100.0m_Lw_5000.0cm_Epw40.0cm_w_concrete.o,C1,P,100.0,5000.0,40.0,concrete,0,C1_H_0,5.01153e-10,0.0297,1.19355e-10,0.0343,5.029999557920479e-10,0.02957612927734414,4.948409931828131e-10,0.029663170869235405,4.242751433240522e-10,0.029771697683121642,
SR_Pu_UN_G1_C1_P_D200.0m_Lw_10000.0cm_Epw40.0cm_w_concrete.o,C1,P,200.0,10000.0,40.0,concrete,0,C1_H_0,9.93672e-11,0.0538,2.56404e-11,0.0484,9.966491554558119e-11,0.053590644686372625,9.784130976068215e-11,0.05384629298064065,8.36734834608795e-11,0.05423058192589074,
SR_Pu_UN_G1_C1_P_D300.0m_Lw_15000.0cm_Epw40.0cm_w_concrete.o,C1,P,300.0,15000.0,40.0,concrete,0,C1_H_0,3.18358e-11,0.1064,7.90592e-12,0.0563,3.199561715550734e-11,0.10662861969408768,3.143190566319173e-11,0.10621928802995136,2.680909516401339e-11,0.10529520823756805,
SR_Pu_UN_G1_C1_P_D500.0m_Lw_25000.0cm_Epw40.0cm_w_concrete.o,C1,P,500.0,25000.0,40.0,concrete,0,C1_H_0,6.01805e-12,0.1356,1.62805e-12,0.0607,6.022023877259497e-12,0.13552446883860925,5.902672723888497e-12,0.13606443278001212,5.016855125406486e-12,0.1367310338825632,
SR_Pu_UN_G1_C1_P_D700.0m_Lw_35000.0cm_Epw40.0cm_w_concrete.o,C1,P,700.0,35000.0,40.0,concrete,0,C1_H_0,1.88488e-12,0.1631,4.06794e-13,0.0751,1.887358809417884e-12,0.16369577312021957,1.8594982309223386e-12,0.1641932765151589,1.5931722701378114e-12,0.16539671418017615,
SR_Pu_UN_G1_C1_P_D1.0m_Lw_50.0cm_Epw1.0cm_w_concrete.o,C1,P,1.0,50.0,1.0,concrete,0,C1_H_0,1.03114e-05,0.0023,1.92993e-06,0.007,1.0322365646287527e-05,0.0022622253003730937,1.0242164780040454e-05,0.0022171090553334337,8.874589842031497e-06,0.0021864702411445087,
SR_Pu_UN_G1_C1_P_D50.0m_Lw_2500.0cm_Epw10.0cm_w_concrete.o,C1,P,50.0,2500.0,10.0,concrete,0,C1_H_0,5.32872e-09,0.024,1.27408e-09,0.0206,5.348848512093213e-09,0.023848484085604648,5.270918679385259e-09,0.024077169885695176,4.528730438495482e-09,0.02436747862606945,
SR_Pu_UN_G1_C1_P_D100.0m_Lw_5000.0cm_Epw10.0cm_w_concrete.o,C1,P,100.0,5000.0,10.0,concrete,0,C1_H_0,1.57124e-09,0.0541,3.54061e-10,0.0373,1.5758398715120386e-09,0.05366672644197233,1.5548386992881608e-09,0.05428911831425881,1.3369986274518374e-09,0.0551032618555062,
SR_Pu_UN_G1_C1_P_D1000.0m_Lw_50000.0cm_Epw40.0cm_w_concrete.o,C1,P,1000.0,50000.0,40.0,concrete,0,C1_H_0,1.63352e-13,0.179,4.89848e-14,0.079,1.639669133539276e-13,0.17901398126739954,1.611469707505022e-13,0.1787564359649603,1.3689222780409937e-13,0.17764861038650312,
SR_Pu_UN_G1_C1_P_D1200.0m_Lw_60000.0cm_Epw40.0cm_w_concrete.o,C1,P,1200.0,60000.0,40.0,concrete,0,C1_H_0,4.61785e-14,0.1588,1.51528e-14,0.0722,4.633328448757137e-14,0.1583782500411122,4.542410216184218e-14,0.15932609402582065,3.8693246410775076e-14,0.16125031019002276,
SR_Pu_UN_G1_C1_N_D5.0m_Lw_250.0cm_Epw1.0cm_w_steel.o,C1,N,5.0,250.0,1.0,steel,0,C1_H_0,8.82876e-06,0.0251,3.45366e-07,0.0322,8.391864202917564e-06,0.024682225666860996,0.0001037323297951657,0.028714014618717202,8.662544244686226e-05,0.026191086443323696,-4.948552198524319
SR_Pu_UN_G1_C1_N_D10.0m_Lw_500.0cm_Epw1.0cm_w_steel.o,C1,N,10.0,500.0,1.0,steel,0,C1_H_0,2.17869e-06,0.0205,8.62752e-08,0.0313,2.072844024508028e-06,0.02042491368978543,2.5708143866523843e-05,0.02257833932463294,2.1343451148696884e-05,0.020834517723422086,-4.858239377422778
SR_Pu_UN_G1_C1_N_D20.0m_Lw_1000.0cm_Epw1.0cm_w_steel.o,C1,N,20.0,1000.0,1.0,steel,0,C1_H_0,5.57505e-07,0.0121,2.56921e-08,0.0155,5.302732877478074e-07,0.012065356987622218,6.536043109753636e-06,0.012492662590446794,5.329413189241702e-06,0.012535962456135133,-4.884568255386517
SR_Pu_UN_G1_C1_N_D50.0m_Lw_2500.0cm_Epw1.0cm_w_steel.o,C1,N,50.0,2500.0,1.0,steel,0,C1_H_0,9.54984e-08,0.0215,5.53433e-09,0.0157,9.101586091924655e-08,0.021491556237767686,1.094075466304605e-06,0.020796601790207703,8.745509209701588e-07,0.023308699639595074,-4.693836839940192
SR_Pu_UN_G1_C1_N_D100.0m_Lw_5000.0cm_Epw1.0cm_w_steel.o,C1,N,100.0,5000.0,1.0,steel,0,C1_H_0,2.22051e-08,0.0376,1.59205e-09,0.0217,2.1160894201989587e-08,0.03759604302299328,2.5510686911306814e-07,0.036256356681958896,1.939815872402434e-07,0.04353889066931766,-4.702549405363697
